"Raca","Sexo","EstadoCivil","NumPessoasFam","IdadeAnos","RendTrabPrinc","RendTrabDemais","RendOutrasFontes"
"Parda","Masculino","Solteiro(a)",3,18,510,0,0
"Branca","Masculino","Solteiro(a)",6,18,400,0,0
"Branca","Feminino","Solteiro(a)",3,38,500,0,0
"Branca","Masculino","Solteiro(a)",4,21,400,0,0
"Branca","Masculino","Solteiro(a)",3,18,300,0,0
"Branca","Feminino","Solteiro(a)",3,19,510,0,0
"Preta","Feminino","Solteiro(a)",2,52,510,0,0
"Parda","Feminino","Solteiro(a)",2,60,480,0,0
"Branca","Masculino","Solteiro(a)",4,26,400,0,0
"Branca","Feminino","Solteiro(a)",2,49,510,0,0
"Branca","Masculino","Solteiro(a)",7,25,510,0,0
"Parda","Masculino","Solteiro(a)",7,22,510,0,0
"Branca","Feminino","Solteiro(a)",4,32,500,0,0
"Branca","Feminino","Solteiro(a)",3,55,500,0,0
"Parda","Masculino","Solteiro(a)",3,26,500,0,0
"Branca","Masculino","Solteiro(a)",4,18,500,0,0
"Branca","Masculino","Solteiro(a)",4,27,500,0,0
"Parda","Feminino","Solteiro(a)",3,21,400,0,0
"Branca","Feminino","Solteiro(a)",3,27,500,0,0
"Branca","Masculino","Solteiro(a)",2,21,510,0,0
"Parda","Masculino","Solteiro(a)",5,26,510,0,0
"Parda","Feminino","Solteiro(a)",4,26,510,0,0
"Branca","Feminino","Solteiro(a)",3,32,500,0,0
"Parda","Feminino","Solteiro(a)",6,29,510,0,0
"Parda","Feminino","Solteiro(a)",2,57,510,0,0
"Branca","Feminino","Solteiro(a)",4,26,380,0,0
"Branca","Feminino","Solteiro(a)",5,30,200,0,0
"Branca","Feminino","Solteiro(a)",8,30,500,0,0
"Branca","Feminino","Solteiro(a)",8,49,500,0,0
"Parda","Feminino","Solteiro(a)",5,41,50,0,0
"Branca","Feminino","Solteiro(a)",7,26,134,0,134
